semana,sku_interno,precio,precio_normal,fecha_act
2026-W36,Prueba1,1190.0,1790.0,03/09/2026 15:21 hrs
2026-W35,TC-001,1950.0,1950.0,30/08/2026 23:45 hrs
2026-W36,TC-001,1950.0,1950.0,06/09/2026 19:16 hrs
2026-W37,TC-001,1950.0,1950.0,08/09/2026 15:07 hrs
2026-W35,TC-002,10773.0,15390.0,30/08/2026 23:45 hrs
2026-W36,TC-002,10773.0,15390.0,06/09/2026 19:16 hrs
2026-W37,TC-002,10773.0,15390.0,08/09/2026 15:07 hrs
2026-W35,TC-003,21150.0,21150.0,30/08/2026 23:45 hrs
2026-W36,TC-003,21150.0,21150.0,06/09/2026 19:16 hrs
2026-W37,TC-003,21150.0,21150.0,08/09/2026 15:07 hrs
2026-W35,TC-004,13690.0,13690.0,30/08/2026 23:45 hrs
2026-W36,TC-004,13690.0,13690.0,06/09/2026 19:16 hrs
2026-W37,TC-004,13690.0,13690.0,08/09/2026 15:07 hrs
2026-W35,TC-006,1450.0,3070.0,30/08/2026 23:45 hrs
2026-W36,TC-006,1450.0,3070.0,06/09/2026 19:16 hrs
2026-W37,TC-006,1450.0,3070.0,08/09/2026 15:07 hrs
2026-W35,TC-007,2990.0,4690.0,30/08/2026 23:45 hrs
2026-W36,TC-007,2990.0,4690.0,06/09/2026 19:16 hrs
2026-W37,TC-007,2990.0,4690.0,08/09/2026 15:07 hrs
2026-W35,TC-008,3000.0,4590.0,30/08/2026 23:45 hrs
2026-W36,TC-008,3000.0,4590.0,06/09/2026 19:16 hrs
2026-W37,TC-008,3000.0,4590.0,08/09/2026 15:07 hrs
2026-W35,TC-009,7490.0,11990.0,30/08/2026 23:15 hrs
2026-W36,TC-009,7490.0,11990.0,06/09/2026 19:16 hrs
2026-W37,TC-009,6990.0,11990.0,08/09/2026 15:07 hrs
2026-W35,TC-010,4674.0,7790.0,30/08/2026 16:45 hrs
2026-W36,TC-010,6790.0,7790.0,06/09/2026 19:16 hrs
2026-W37,TC-010,5990.0,7790.0,08/09/2026 15:07 hrs
2026-W35,TC-011,3000.0,4590.0,30/08/2026 23:45 hrs
2026-W36,TC-011,3000.0,4590.0,06/09/2026 19:16 hrs
2026-W37,TC-011,2790.0,4590.0,08/09/2026 15:07 hrs
2026-W35,TC-012,4150.0,5090.0,30/08/2026 23:45 hrs
2026-W36,TC-012,4150.0,5090.0,06/09/2026 19:16 hrs
2026-W37,TC-012,4150.0,5090.0,08/09/2026 15:07 hrs
2026-W35,TC-013,2990.0,2990.0,30/08/2026 23:45 hrs
2026-W36,TC-013,2990.0,2990.0,06/09/2026 19:16 hrs
2026-W37,TC-013,2990.0,2990.0,08/09/2026 15:07 hrs
2026-W35,TC-014,2990.0,3590.0,30/08/2026 23:45 hrs
2026-W36,TC-014,2990.0,3590.0,06/09/2026 19:16 hrs
2026-W37,TC-014,2990.0,3590.0,08/09/2026 15:07 hrs
2026-W35,TC-015,3937.0,5790.0,30/08/2026 23:45 hrs
2026-W36,TC-015,3937.0,5790.0,06/09/2026 19:16 hrs
2026-W37,TC-015,3937.0,5790.0,08/09/2026 15:07 hrs
2026-W35,TC-016,990.0,1740.0,30/08/2026 23:45 hrs
2026-W36,TC-016,990.0,1740.0,06/09/2026 19:16 hrs
2026-W37,TC-016,990.0,1740.0,08/09/2026 15:07 hrs
2026-W35,TC-017,1190.0,1790.0,30/08/2026 23:45 hrs
2026-W36,TC-017,1190.0,1790.0,06/09/2026 19:16 hrs
2026-W37,TC-017,1190.0,1790.0,08/09/2026 15:07 hrs
2026-W35,TC-018,1690.0,1690.0,30/08/2026 23:45 hrs
2026-W36,TC-018,1690.0,1690.0,06/09/2026 19:16 hrs
2026-W37,TC-018,1690.0,1690.0,08/09/2026 15:07 hrs
2026-W35,TC-019,1990.0,3250.0,30/08/2026 23:45 hrs
2026-W36,TC-019,1990.0,3250.0,06/09/2026 19:16 hrs
2026-W37,TC-019,1990.0,3250.0,08/09/2026 15:07 hrs
2026-W35,TC-020,3150.0,3850.0,30/08/2026 23:45 hrs
2026-W36,TC-020,3150.0,3850.0,06/09/2026 19:16 hrs
2026-W37,TC-020,3150.0,3850.0,08/09/2026 15:07 hrs
2026-W35,TC-021,1790.0,2150.0,30/08/2026 23:45 hrs
2026-W36,TC-021,1790.0,2150.0,06/09/2026 19:16 hrs
2026-W37,TC-021,1790.0,2150.0,08/09/2026 15:07 hrs
2026-W35,TC-022,2090.0,2090.0,30/08/2026 16:15 hrs
2026-W36,TC-022,2090.0,2090.0,06/09/2026 19:16 hrs
2026-W37,TC-022,2090.0,2090.0,08/09/2026 15:07 hrs
2026-W35,TC-023,4490.0,5790.0,30/08/2026 23:45 hrs
2026-W36,TC-023,4490.0,5790.0,06/09/2026 19:16 hrs
2026-W37,TC-023,4490.0,5790.0,08/09/2026 15:07 hrs
2026-W35,TC-024,11600.0,11600.0,30/08/2026 16:45 hrs
2026-W36,TC-024,11600.0,11600.0,06/09/2026 19:16 hrs
2026-W37,TC-024,11600.0,11600.0,08/09/2026 15:07 hrs
2026-W35,TC-025,1974.0,3290.0,30/08/2026 23:45 hrs
2026-W36,TC-025,2700.0,3290.0,06/09/2026 19:16 hrs
2026-W37,TC-025,2700.0,3290.0,08/09/2026 15:07 hrs
2026-W35,TC-026,1590.0,1950.0,30/08/2026 23:15 hrs
2026-W36,TC-026,1170.0,1950.0,06/09/2026 19:16 hrs
2026-W37,TC-026,1590.0,1950.0,08/09/2026 15:07 hrs
2026-W35,TC-027,990.0,1650.0,30/08/2026 23:15 hrs
2026-W36,TC-027,1650.0,1650.0,06/09/2026 19:16 hrs
2026-W37,TC-027,1650.0,1650.0,08/09/2026 15:07 hrs
2026-W35,TC-028,1690.0,1750.0,30/08/2026 23:15 hrs
2026-W36,TC-028,1690.0,1750.0,06/09/2026 19:16 hrs
2026-W37,TC-028,1090.0,1750.0,08/09/2026 15:07 hrs
2026-W35,TC-029,2790.0,3250.0,30/08/2026 23:15 hrs
2026-W36,TC-029,2790.0,3250.0,06/09/2026 19:16 hrs
2026-W37,TC-029,2790.0,3250.0,08/09/2026 15:07 hrs
2026-W35,TC-030,1000.0,1290.0,30/08/2026 16:45 hrs
2026-W36,TC-030,903.0,1290.0,06/09/2026 19:16 hrs
2026-W37,TC-030,1290.0,1290.0,08/09/2026 15:07 hrs
2026-W35,TC-031,1290.0,1590.0,30/08/2026 16:15 hrs
2026-W36,TC-031,1290.0,1590.0,06/09/2026 19:16 hrs
2026-W37,TC-031,1290.0,1590.0,08/09/2026 15:07 hrs
2026-W35,TC-032,2790.0,2790.0,30/08/2026 23:45 hrs
2026-W36,TC-032,1674.0,2790.0,06/09/2026 19:16 hrs
2026-W37,TC-032,2790.0,2790.0,08/09/2026 15:07 hrs
2026-W35,TC-033,1770.0,2950.0,30/08/2026 16:45 hrs
2026-W36,TC-033,2490.0,2950.0,06/09/2026 19:16 hrs
2026-W37,TC-033,2490.0,2950.0,08/09/2026 15:07 hrs
2026-W35,TC-034,1000.0,1000.0,27/08/2026 21:21 hrs
2026-W35,TC-035,2000.0,2000.0,30/08/2026 23:45 hrs
2026-W36,TC-035,2000.0,2000.0,06/09/2026 19:16 hrs
2026-W37,TC-035,2000.0,2000.0,08/09/2026 15:07 hrs
2026-W35,TC-036,1000.0,1000.0,30/08/2026 23:45 hrs
2026-W36,TC-036,1000.0,1000.0,06/09/2026 19:16 hrs
2026-W37,TC-036,1000.0,1000.0,08/09/2026 15:07 hrs
2026-W35,TC-037,1290.0,1290.0,30/08/2026 23:45 hrs
2026-W36,TC-037,1290.0,1290.0,06/09/2026 19:16 hrs
2026-W37,TC-037,1290.0,1290.0,08/09/2026 15:07 hrs
2026-W35,TC-038,1890.0,1890.0,30/08/2026 23:45 hrs
2026-W36,TC-038,1890.0,1890.0,06/09/2026 19:16 hrs
2026-W37,TC-038,1890.0,1890.0,08/09/2026 15:07 hrs
2026-W35,TC-039,7390.0,11690.0,30/08/2026 23:45 hrs
2026-W36,TC-039,7390.0,11690.0,06/09/2026 19:16 hrs
2026-W37,TC-039,7390.0,11690.0,08/09/2026 15:07 hrs
2026-W35,TC-040,10990.0,14390.0,30/08/2026 23:45 hrs
2026-W36,TC-040,10990.0,14390.0,06/09/2026 19:16 hrs
2026-W37,TC-040,10990.0,14390.0,08/09/2026 15:07 hrs
2026-W35,TC-041,9490.0,9490.0,30/08/2026 23:45 hrs
2026-W36,TC-041,9490.0,9490.0,06/09/2026 19:16 hrs
2026-W37,TC-041,9490.0,9490.0,08/09/2026 15:07 hrs
2026-W35,TC-042,15919.0,24490.0,30/08/2026 23:45 hrs
2026-W36,TC-042,15290.0,24490.0,06/09/2026 19:16 hrs
2026-W37,TC-042,15980.0,24490.0,08/09/2026 15:07 hrs
2026-W35,TC-043,5190.0,7490.0,30/08/2026 23:45 hrs
2026-W36,TC-043,4790.0,7490.0,06/09/2026 19:16 hrs
2026-W37,TC-043,4869.0,7490.0,08/09/2026 15:07 hrs
2026-W35,TC-044,9890.0,9890.0,30/08/2026 23:45 hrs
2026-W36,TC-044,9890.0,9890.0,06/09/2026 19:16 hrs
2026-W37,TC-044,9890.0,9890.0,08/09/2026 15:07 hrs
2026-W35,TC-045,9950.0,10950.0,30/08/2026 23:45 hrs
2026-W36,TC-045,9950.0,10950.0,06/09/2026 19:16 hrs
2026-W37,TC-045,9950.0,10950.0,08/09/2026 15:07 hrs
2026-W35,TC-046,6810.0,6810.0,30/08/2026 23:45 hrs
2026-W36,TC-046,6810.0,6810.0,06/09/2026 19:16 hrs
2026-W37,TC-046,6810.0,6810.0,08/09/2026 15:07 hrs
2026-W35,TC-047,11570.0,17800.0,30/08/2026 23:45 hrs
2026-W36,TC-047,10990.0,17800.0,06/09/2026 19:16 hrs
2026-W37,TC-047,13690.0,17800.0,08/09/2026 15:07 hrs
2026-W35,TC-048,6390.0,8020.0,30/08/2026 23:45 hrs
2026-W36,TC-048,6390.0,8020.0,06/09/2026 19:16 hrs
2026-W37,TC-048,6390.0,8020.0,08/09/2026 15:07 hrs
2026-W35,TC-049,3829.0,5890.0,30/08/2026 23:45 hrs
2026-W36,TC-049,4490.0,5890.0,06/09/2026 19:16 hrs
2026-W37,TC-049,4490.0,5890.0,08/09/2026 15:07 hrs
2026-W35,TC-050,12539.0,19290.0,30/08/2026 23:45 hrs
2026-W36,TC-050,12990.0,19290.0,06/09/2026 19:16 hrs
2026-W37,TC-050,12990.0,19290.0,08/09/2026 15:07 hrs
2026-W35,TC-051,10990.0,13290.0,30/08/2026 23:45 hrs
2026-W36,TC-051,8490.0,13290.0,06/09/2026 19:16 hrs
2026-W37,TC-051,8639.0,13290.0,08/09/2026 15:07 hrs
2026-W35,TC-052,11190.0,15990.0,30/08/2026 23:45 hrs
2026-W36,TC-052,11990.0,15990.0,06/09/2026 19:16 hrs
2026-W37,TC-052,11990.0,15990.0,08/09/2026 15:07 hrs
2026-W35,TC-053,8590.0,9990.0,30/08/2026 23:45 hrs
2026-W36,TC-053,8590.0,9990.0,06/09/2026 19:16 hrs
2026-W37,TC-053,8590.0,9990.0,08/09/2026 15:07 hrs
2026-W35,TC-054,4323.0,6650.0,30/08/2026 23:45 hrs
2026-W36,TC-054,5190.0,6650.0,06/09/2026 19:16 hrs
2026-W37,TC-054,5190.0,6650.0,08/09/2026 15:07 hrs
2026-W35,TC-055,12990.0,16490.0,30/08/2026 23:45 hrs
2026-W36,TC-055,13190.0,16490.0,06/09/2026 19:16 hrs
2026-W37,TC-055,13190.0,16490.0,08/09/2026 15:07 hrs
2026-W35,TC-056,3890.0,4290.0,30/08/2026 23:45 hrs
2026-W36,TC-056,3890.0,4290.0,06/09/2026 19:16 hrs
2026-W37,TC-056,3890.0,4290.0,08/09/2026 15:07 hrs
2026-W35,TC-057,3090.0,3090.0,30/08/2026 23:45 hrs
2026-W36,TC-057,3090.0,3090.0,06/09/2026 19:16 hrs
2026-W37,TC-057,3090.0,3090.0,08/09/2026 15:07 hrs
2026-W35,TC-058,5990.0,7550.0,30/08/2026 23:45 hrs
2026-W36,TC-058,5990.0,7550.0,06/09/2026 19:16 hrs
2026-W37,TC-058,4908.0,7550.0,08/09/2026 15:07 hrs
2026-W35,TC-059,5690.0,6090.0,30/08/2026 23:45 hrs
2026-W36,TC-059,5690.0,6090.0,06/09/2026 19:16 hrs
2026-W37,TC-059,5690.0,6090.0,08/09/2026 15:07 hrs
2026-W35,TC-060,11990.0,18590.0,30/08/2026 23:45 hrs
