sku_interno,producto,marca,metros_totales,retailer,url,categoria,subcategoria,rollos,metros_rollo,unidades,grupo_id,nombre_estandar
TC-002,Doble Hoja 22m 40 un,Noble,880,santaisabel,https://www.santaisabel.cl/ph-doble-hoja-noble-dh-40-rollos-1960588/p,Papel Higienico,Doble Hoja,40.0,22,,8.0,Noble Super DH 22 mts.x40
TC-003,Doble Hoja 22m 40 un,Confort,880,santaisabel,https://www.santaisabel.cl/papel-higienico-confort-dh-22mt-40un-1997284/p,Papel Higienico,Doble Hoja,40.0,22,,5.0,Confort DH 22 mts.x40
TC-004,Doble Hoja 22m 40 un,Confort,880,jumbo,https://www.jumbo.cl/papel-higienico-confort-dh-22mt-40un-1997284/p,Papel Higienico,Doble Hoja,40.0,22,,5.0,Confort DH 22 mts.x40
TC-006,PAPEL HIG DH NOBLE 6X23 MT,Noble,138,alvi,https://www.alvi.cl/product/papel-hig-dh-noble-6x23-mt-2,Papel Higienico,Doble Hoja,6.0,23,,42.0,Noble DH 23 mts.x6
TC-007,Doble Hoja 50 m 4 un,Favorita,200,jumbo,https://www.jumbo.cl/papel-hig-favorita-soft-care-50dh-4un-2004277/p,Papel Higienico,Doble Hoja,4.0,50,,4.0,Favorita Soft Care DH 50 mts.x4
TC-008,Doble Hoja 50 m 4 un,Favorita,200,santaisabel,https://www.santaisabel.cl/papel-hig-favorita-soft-care-50dh-4un-2004277/p,Papel Higienico,Doble Hoja,4.0,50,,4.0,Favorita Soft Care DH 50 mts.x4
TC-009,Doble Hoja 50 mts 12 un,Favorita,600,tottus,https://www.tottus.cl/tottus-cl/articulo/148257118/papel-higienico-12-50-favorita-nag-und/148257119,Papel Higienico,Doble Hoja,12.0,50,,13.0,Favorita Soft Care DH 50 mts.x12
TC-010,Doble Hoja 8 x 40 mts,Confort,320,tottus,https://www.tottus.cl/tottus-cl/articulo/119823952/ph-dh-super-40m-x8-confort-und/119823953,Papel Higienico,Doble Hoja,8.0,40,,10.0,Confort Súper DH 40 mts.x8
TC-011,Soft Care 4 x 50 mts,Favorita,200,tottus,https://www.tottus.cl/tottus-cl/articulo/138899719/papel-higienico-soft-care-favorita-4-und/138899721,Papel Higienico,Doble Hoja,4.0,50,,4.0,Favorita Soft Care DH 50 mts.x4
TC-012,Doble Hoja 50 m 4 un,Confort,200,santaisabel,https://www.santaisabel.cl/papel-higienico-confort-doble-hoja-4-rollos-50-m-c-u/p,Papel Higienico,Doble Hoja,4.0,50,,201.0,Confort DH 50 mts.x4
TC-013,Mi Hogar 50 m 4 un,Swan,200,santaisabel,https://www.santaisabel.cl/papel-higienico-mi-hogar-50-m-4-un-1899135/p,Papel Higienico,Doble Hoja,4.0,50,,15.0,Swan Mi Hogar DH 50 mts.x4
TC-014,Rindemax 50 m 4 un,Scott,200,santaisabel,https://www.santaisabel.cl/papel-higienico-scott-rindemax-50-m-4-un-2044412/p,Papel Higienico,Doble Hoja,4.0,50,,209.0,Scott Rindemax DH 50 mts.x4
TC-015,Doble Hoja Ultra 50 m 4 un,Elite,200,santaisabel,https://www.santaisabel.cl/papel-higienico-elite-doble-hoja-4-rollos-50-m-c-u/p,Papel Higienico,Doble Hoja,4.0,50,,1.0,Elite Ultra DH 50 mts.x4
TC-016,Doble Hoja Rendiplus 18 m 4 un,Confort,72,santaisabel,https://www.santaisabel.cl/papel-higienico-2037001/p,Papel Higienico,Doble Hoja,4.0,18,,50.0,Confort Rendiplus DH 18 mts.x4
TC-017,Sensación 22 m 4 un,Favorita,88,santaisabel,https://www.santaisabel.cl/ph-fav-sensacion-winter-dh-4-uni-22m-c-u-1957550/p,Papel Higienico,Doble Hoja,4.0,22,,7.0,Favorita Sensación DH 22 mts.x4
TC-018,Rindemax Doble Hoja 22 m 4 un,Scott,88,santaisabel,https://www.santaisabel.cl/papel-higienico-rindemax-4-unid-22-m-c-u/p,Papel Higienico,Doble Hoja,4.0,22,,52.0,Scott Rindemax DH 21 mts.x4
TC-019,Ultra Suave Doble Hoja 25 m 4 un,Elite,100,santaisabel,https://www.santaisabel.cl/ph-elite-ulta-dh-4-roll-25-m-1960058/p,Papel Higienico,Doble Hoja,4.0,25,,3.0,Elite Ultra DH 25 mts.x4
TC-020,Doble Hoja 25 m 6 un,Confort,150,santaisabel,https://www.santaisabel.cl/papel-higienico-dh-6-un-25-m-c-u/p,Papel Higienico,Doble Hoja,6.0,25,,,Confort DH 25 mts.x6
TC-021,Doble Hoja 22 m 6 un,Noble,132,santaisabel,https://www.santaisabel.cl/papel-higienico-doble-hoja-22-m-6-un/p,Papel Higienico,Doble Hoja,6.0,22,,39.0,Noble DH 22 mts.x6
TC-022,Rendidor 20 m 6 un,Swan,120,santaisabel,https://www.santaisabel.cl/papel-higienico-swan-rendidor-20-mts-6un-2042618/p,Papel Higienico,Doble Hoja,6.0,20,,57.0,Swan Rendidor DH 20 mts.x6
TC-023,Doble Hoja 4 x 50 mts,Elite,200,tottus,https://www.tottus.cl/tottus-cl/articulo/144745465/papel-higienico-elite-50m-x-4/144745466,Papel Higienico,Doble Hoja,4.0,50,,1.0,Elite Ultra DH 50 mts.x4
TC-024,Protect Care Doble Hoja 8 x 65 mts,Scott,520,tottus,https://www.tottus.cl/tottus-cl/articulo/142842662/papel-higienico-protect-care-dh-65mx8un/142842664,Papel Higienico,Doble Hoja,8.0,65,,,Scott Protect Care DH 65 mts.x8
TC-025,Doble Hoja 4 x 30 mts,Confort,120,tottus,https://www.tottus.cl/tottus-cl/articulo/110610609/papel-hig-dh-4-rolllos-30-mt-confort/110610611,Papel Higienico,Doble Hoja,4.0,30,,6.0,Confort DH 30 mts.x4
